#SampleID,Soils,CO2,days,Rep ,phytate,Olsen P,Microbial P ,microbial C,Microbial C/P,Cumulative C ,respiration rate ,DOC
#q2:types,categorical,categorical,categorical,categorical,quantitative,quantitative,quantitative,quantitative,quantitative,quantitative,quantitative,quantitative
Jin01,Vertisol,300,3d,I,1.54352647,4.36526816,0.695483172,73.5777778,105.7937571,0.099,0.099,75.53
Jin02,Vertisol,300,3d,II,1.49478353,4.3686069,0.57601367,62.8222222,109.0637696,0.14025,0.14025,56.71
Jin03,Vertisol,300,3d,III,1.76286971,4.11486231,0.674149332,70.1555556,104.0653046,0.14025,0.14025,58.18
Jin04,Vertisol,300,3d,IV,1.63288853,3.7776491,0.56534675,35.0777778,62.04648351,0.14025,0.14025,92.03
Jin05,Vertisol,500,3d,I,1.61664088,4.99629089,0.418143257,59.8888889,143.2257675,0.45375,0.45375,92.89
Jin06,Vertisol,500,3d,II,1.64101235,3.88115018,0.497078463,119.777778,240.9635237,0.165,0.165,207.78
Jin07,Vertisol,500,3d,III,1.678924,4.21502465,0.482144776,128.333333,266.1717795,0.2145,0.2145,160.11
Jin08,Vertisol,500,3d,IV,1.77911735,4.17495971,0.582413822,119.655556,205.4476585,0.3795,0.3795,95.46
Jin09,Vertisol,300,14d,I,1.2584264,2.57253867,0.62235177,57.0777778,91.71304807,0.994125,0.51975,67.5888889
Jin10,Vertisol,300,14d,II,1.21934483,2.37412553,0.46385019,53.4111111,115.1473304,0.994125,0.495,58.3
Jin11,Vertisol,300,14d,III,1.27405903,2.3524241,0.46151929,44.8555556,97.19107429,1.027125,0.50325,63.5555556
Jin12,Vertisol,300,14d,IV,1.27405903,3.24838341,0.30534862,38.8666667,127.2862039,0.994125,0.48675,71.8666667
Jin13,Vertisol,500,14d,I,1.14899802,1.72618264,0.65032263,110.733333,170.2744575,2.074875,0.89925,104.377778
Jin14,Vertisol,500,14d,II,1.12554908,1.57737279,0.48016653,60.8666667,126.7615773,1.720125,0.8745,106.577778
Jin15,Vertisol,500,14d,III,1.10210014,1.81608859,0.3799376,77.6111111,204.2733099,1.720125,0.84975,108.166667
Jin16,Vertisol,500,14d,IV,1.22716115,2.13540973,0.66197716,41.5555556,62.77490843,1.951125,0.91575,127.111111
Jin17,Vertisol,300,42d,I,1.37408184,1.5077548,0.76109392,67.2222222,88.3231628,3.097875,0.68475,143
Jin18,Vertisol,300,42d,II,1.26838324,1.392261358,0.73299985,89.2222222,121.7220197,3.007125,0.6435,123.444444
Jin19,Vertisol,300,42d,III,1.54482574,1.443214347,0.67681171,72.1111111,106.5453065,3.040125,0.6105,129.555556
Jin20,Vertisol,300,42d,IV,1.35782051,1.375277029,0.85048415,103.888889,122.1526456,2.990625,0.66825,124.666667
Jin21,Vertisol,500,42d,I,1.33342853,1.032193571,0.48270722,262.655556,544.1301582,5.366625,0.99,74.6777778
Jin22,Vertisol,500,42d,II,1.25212191,1.069559096,0.44439712,179.666667,404.2930499,5.127375,0.98175,165
Jin23,Vertisol,500,42d,III,0.62606096,1.477183006,0.60529953,198,327.1107777,5.333625,0.98175,178.444444
Jin24,Vertisol,500,42d,IV,1.30903654,1.100130889,0.46227517,121,261.7488627,5.424375,0.9735,167.444444
Jin25,Chromosol,300,3d,I,1.80348882,4.03139369,0.902421416,42.9,47.53876541,0.099,0.099,64.66
Jin26,Chromosol,300,3d,II,1.88472706,2.87618805,0.810685906,52.4333333,64.6777413,0.15675,0.15675,66
Jin27,Chromosol,300,3d,III,1.65726,3.06315775,0.659215644,61.6,93.44438434,0.165,0.165,65.51
Jin28,Chromosol,300,3d,IV,1.67350765,2.86283307,0.930155408,49.5,53.21691362,0.1485,0.1485,63.92
Jin29,Chromosol,500,3d,I,1.00735412,3.48717832,0.608014429,91.6666667,150.763966,0.22275,0.22275,162.56
Jin30,Chromosol,500,3d,II,0.95048735,3.0297703,0.977089855,37.8888889,38.77728205,0.22275,0.22275,184.56
Jin31,Chromosol,500,3d,III,0.91799206,3.24344996,1.105092893,31.7777778,28.75575257,0.231,0.231,187
Jin32,Chromosol,500,3d,IV,0.84487765,3.10656143,0.819219442,180.766667,220.6571985,0.18975,0.18975,112.57
Jin33,Chromosol,300,14d,I,1.07083489,1.98039947,0.33565039,52.8,157.3065355,0.862125,0.45375,70.6444444
Jin34,Chromosol,300,14d,II,1.10991645,1.9990007,0.72957342,57.9333333,79.4071326,0.936375,0.4785,77.7333333
Jin35,Chromosol,300,14d,III,2.06350664,1.79128695,0.63866811,37.5222222,58.75073706,0.903375,0.50325,80.3
Jin36,Chromosol,300,14d,IV,1.20371221,1.64557731,0.62934449,108.9,173.0371867,0.878625,0.43725,75.6555556
Jin37,Chromosol,500,14d,I,1.07083489,1.77578593,0.73889704,77,104.2093767,1.909875,0.93225,115.988889
Jin38,Chromosol,500,14d,II,1.00830438,1.17744632,0.59671181,70.7666667,118.5943793,1.827375,0.89925,105.233333
Jin39,Chromosol,500,14d,III,0.97703913,1.9400968,0.7443336,84.7,113.7930627,1.909875,0.96525,115.744444
Jin40,Chromosol,500,14d,IV,0.90669231,1.54327053,0.89739862,79.555,88.65068235,1.893375,0.8745,172.333333
Jin41,Chromosol,300,42d,I,1.33342853,3.379427922,0.82749809,55,66.46541021,2.998875,0.6105,166.222222
Jin42,Chromosol,300,42d,II,1.5529564,1.721757353,0.61806956,77,124.5814468,2.891625,0.594,168.666667
Jin43,Chromosol,300,42d,III,1.51230309,2.584561296,0.72022982,74.5555556,103.5163409,2.908125,0.60225,155.222222
Jin44,Chromosol,300,42d,IV,1.44725779,1.901791246,0.65382565,75.7777778,115.8990593,2.965875,0.594,147.888889
Jin45,Chromosol,500,42d,I,0.49597037,1.922172442,0.79940402,130.777778,163.594096,5.284125,1.0065,224.888889
Jin46,Chromosol,500,42d,II,0.58540765,1.755726012,0.86836219,95.3333333,109.7852191,5.234625,1.01475,223.666667
Jin47,Chromosol,500,42d,III,1.04072471,1.884806917,0.91944232,122.222222,132.9308205,5.308875,0.98175,220
Jin48,Chromosol,500,42d,IV,1.13016199,1.579088984,0.78152598,107.555556,137.6224959,5.358375,0.9735,207.777778
